schoolid,code,name,categorycode,projectcode
1,10001,SSAT直通车预备班,361,0120
1,10002,SSAT直通车冲分班,167,0115
1,10003,TOEFL高中直通车预备班,154,0101
1,10004,TOEFL高中直通车冲分班,154,0101
1,10005,TOEFL本科直通车冲80分班,154,0101
1,10006,英联邦企业培训班,429,1525
1,10007,TOEFL本科直通车冲90分班,154,0101
1,10008,英联邦非标课程,441,1526
1,10009,北美企业培训班,429,0141
1,10010,北美非标课程,441,0142
1,10011,TOEFL直通车冲100分班,154,0101
1,10012,TOEFL本科直通车快速突破班,154,0101
1,10013,TOEFL考前封闭集训营,154,0101
1,10014,TOEFL直通车预备班,154,0101
1,10015,SAT直通车预备班,165,0109
1,10016,SAT直通车冲2000班,165,0109
1,10017,SAT直通车快速突破班,165,0109
1,10018,SAT直通车冲2200班,165,0109
1,10019,SAT直通车模考冲刺班,165,0109
1,10020,GRE直通车模考冲刺班,155,0103
1,10021,ACT直通车模考冲刺班,166,0124
1,10022,TOEFL大学生直通车冲90分班,154,0101
1,10023,TOEFL大学生直通车冲100分班,154,0101
1,10024,GMAT直通车冲650分班,156,0102
1,10025,GMAT直通车冲700分班,156,0102
1,10026,GMAT直通车模考冲刺班,156,0102
1,10027,TOEFL研究生直通车模考冲刺班,154,0101
1,10028,AP直通车班,164,0126
1,10029,TOEFL研究生直通车快速突破班,154,0101
1,10030,TOEFL Junior直通车快速突破班,410,0128
1,10031,SAT直通车冲分班,165,0109
1,10032,TOEFL直通车冲分班,154,0101
1,10033,TOEFL直通车初级起点班,154,0101
1,10034,TOEFL直通车中级提高班,154,0101
1,10035,TOEFL本科直通车全程A班,154,0101
1,10036,TOEFL本科直通车全程B班,154,0101
1,10037,SAT直通车中级提高班,165,0109
1,10038,英联邦精英A计划,362,1531
1,10039,英联邦精英B计划,362,1531
1,10040,英联邦精英C计划,362,1531
1,10041,TOEFL1对1班,154,0101
1,10042,TOEFL体验班,154,0101
1,10043,TOEFL预备班,154,0101
1,10044,TOEFL基础班,154,0101
1,10045,TOEFL大学生强化班,154,0101
1,10046,TOEFL精讲精练班,154,0101
1,10047,TOEFL模考班,154,0101
1,10048,TOEFL点题班,154,0101
1,10049,英联邦精英D计划,362,1531
1,10050,TOEFL冲分班,154,0101
1,10051,英联邦精英计划VIP1对1班,362,1531
1,10052,TOEFL全程班,154,0101
1,10053,GMAT*1对1班,156,0102
1,10054,蒙纳士大学预科预备班,412,1523
1,10055,GMAT*体验班,156,0102
1,10056,蒙纳士大学预科班,412,1523
1,10057,英澳名校预科1对1班,412,1523
1,10058,GMAT*预备班,156,0102
1,10059,ACT直通车快速突破班,166,0124
1,10060,O-LEVEL1对1班,193,1520
1,10061,GMAT*基础班,156,0102
1,10062,A-LEVEL1对1班,188,1519
1,10063,GMAT*强化班,156,0102
1,10064,GMAT*精讲精练B班,156,0102
1,10065,GMAT*模考班,156,0102
1,10066,GMAT*点题班,156,0102
1,10067,GMAT*冲分班,156,0102
1,10068,GMAT*全程班,156,0102
1,10069,A-LEVEL全程班,188,1519
1,10070,GRE直通车冲320分班,155,0103
1,10071,GRE1对1班,155,0103
1,10072,GRE体验班,155,0103
1,10073,GRE预备班,155,0103
1,10074,GRE基础班,155,0103
1,10076,北美精英计划单项班,362,0146
1,10077,IELTS直通车预备班,186,1515
1,10078,GRE强化班,155,0103
1,10079,GRE精讲精练B班,155,0103
1,10080,北美高中生精英A计划,362,0146
1,10081,北美高中生精英B计划,362,0146
1,10082,GRE模考班,155,0103
1,10083,北美高中生精英C计划,362,0146
1,10084,英澳留学直通车预科班,186,1515
1,10085,北美本科生精英A计划,362,0146
1,10086,北美本科生精英B计划,362,0146
1,10087,IELTS直通车冲8分班,186,1515
1,10088,北美本科生精英C计划,362,0146
1,10089,IELTS直通车冲7分班,186,1515
1,10090,北美本科生精英D计划,362,0146
1,10091,IELTS直通车冲6分班,186,1515
1,10092,北美本科生精英S计划,362,0146
1,10093,IELTS直通车冲6.5分班,186,1515
1,10094,IELTS直通车冲5.5分班,186,1515
1,10095,BEC1对1班,187,1514
1,10096,BEC初级基础班,187,1514
1,10097,BEC初级强化班,187,1514
1,10098,BEC初级全程班,187,1514
1,10099,BEC中级基础班,187,1514
1,10100,BEC中级强化班,187,1514
1,10101,BEC中级模考班,187,1514
1,10102,BEC中级点题班,187,1514
1,10103,BEC中级全程班,187,1514
1,10104,BEC高级基础班,187,1514
1,10105,BEC高级强化班,187,1514
1,10106,BEC高级模考班,187,1514
1,10107,BEC高级点题班,187,1514
1,10108,BEC高级全程班,187,1514
1,10109,IELTS1对1班,186,1515
1,10110,雅思模考班,186,1515
1,10111,IELTS考前点题班,186,1515
1,10112,GRE点题班,155,0103
1,10113,GRE冲分班,155,0103
1,10114,GRE全程班,155,0103
1,10115,雅思预备班,186,1515
1,10116,IELTS5.5分班,186,1515
1,10117,IELTS6分班,186,1515
1,10118,IELTS6.5分班,186,1515
1,10119,IELTS7分班,186,1515
1,10123,考研数学基础强化集训营,178,0237
1,10125,考研英语政治基础强化集训营,178,0237
1,10126,考研无忧英语政治基础集训营,178,0237
1,10127,考研英语政治数学基础集训营,178,0237
1,10128,考研英语政治数学基础强化集训营,178,0237
1,10129,考研无忧英语政治数学基础集训营,178,0237
1,10133,考研无忧英语大二预备营,178,0237
1,10134,考研英语强化集训营,178,0237
1,10135,考研无忧英语培优集训营,178,0237
1,10137,考研无忧数学大二预备营,178,0237
1,10140,考研无忧英语政治强化集训营,178,0237
1,10141,考研无忧英语数学大二预备营,178,0237
1,10142,考研英语数学强化集训营,178,0237
1,10145,考研无忧英语政治数学强化集训营,178,0237
1,10147,考研无忧强化集训营（法律硕士）,178,0237
1,10148,考研无忧强化集训营（会计硕士）,178,0237
1,10149,考研无忧强化集训营（西医综合）,178,0237
1,10150,考研无忧强化集训营（中传媒新闻传播）,178,0237
1,10151,考研无忧强化集训营（中政法法学硕士）,178,0237
